Davidson Wildcats,A10
Dayton Flyers,A10
Duquesne Dukes,A10
Fordham Rams,A10
George Mason Patriots,A10
George Washington Revolutionaries,A10
La Salle Explorers,A10
Loyola Chicago Ramblers,A10
Rhode Island Rams,A10
Richmond Spiders,A10
Saint Louis Billikens,A10
St. Bonaventure Bonnies,A10
Saint Joseph's Hawks,A10
VCU Rams,A10
Boston College Eagles,ACC
California Golden Bears,ACC
Clemson Tigers,ACC
Duke Blue Devils,ACC
Florida State Seminoles,ACC
Georgia Tech Yellow Jackets,ACC
Louisville Cardinals,ACC
Miami Hurricanes,ACC
NC State Wolfpack,ACC
North Carolina Tar Heels,ACC
Notre Dame Fighting Irish,ACC
Pittsburgh Panthers,ACC
SMU Mustangs,ACC
Stanford Cardinal,ACC
Syracuse Orange,ACC
Virginia Cavaliers,ACC
Virginia Tech Hokies,ACC
Wake Forest Demon Deacons,ACC
Binghamton Bearcats,America East
Bryant Bulldogs,America East
Maine Black Bears,America East
New Hampshire Wildcats,America East
NJIT Highlanders,America East
UAlbany Great Danes,America East
UMass Lowell River Hawks,America East
UMBC Retrievers,America East
Vermont Catamounts,America East
Charlotte 49ers,American
East Carolina Pirates,American
Florida Atlantic Owls,American
Memphis Tigers,American
North Texas Mean Green,American
Rice Owls,American
South Florida Bulls,American
Temple Owls,American
Tulane Green Wave,American
Tulsa Golden Hurricane,American
UAB Blazers,American
UTSA Roadrunners,American
Wichita State Shockers,American
Austin Peay Governors,ASUN
Bellarmine Knights,ASUN
Central Arkansas Bears,ASUN
Eastern Kentucky Colonels,ASUN
Florida Gulf Coast Eagles,ASUN
Jacksonville Dolphins,ASUN
Lipscomb Bisons,ASUN
North Alabama Lions,ASUN
North Florida Ospreys,ASUN
Queens University Royals,ASUN
Stetson Hatters,ASUN
West Georgia Wolves,ASUN
Illinois Fighting Illini,Big 10
Indiana Hoosiers,Big 10
Iowa Hawkeyes,Big 10
Maryland Terrapins,Big 10
Michigan Wolverines,Big 10
Michigan State Spartans,Big 10
Minnesota Golden Gophers,Big 10
Nebraska Cornhuskers,Big 10
Northwestern Wildcats,Big 10
Ohio State Buckeyes,Big 10
Oregon Ducks,Big 10
Penn State Nittany Lions,Big 10
Purdue Boilermakers,Big 10
Rutgers Scarlet Knights,Big 10
UCLA Bruins,Big 10
USC Trojans,Big 10
Washington Huskies,Big 10
Wisconsin Badgers,Big 10
Arizona Wildcats,Big 12
Arizona State Sun Devils,Big 12
Baylor Bears,Big 12
BYU Cougars,Big 12
Cincinnati Bearcats,Big 12
Colorado Buffaloes,Big 12
Houston Cougars,Big 12
Iowa State Cyclones,Big 12
Kansas Jayhawks,Big 12
Kansas State Wildcats,Big 12
Oklahoma State Cowboys,Big 12
TCU Horned Frogs,Big 12
Texas Tech Red Raiders,Big 12
UCF Knights,Big 12
Utah Utes,Big 12
West Virginia Mountaineers,Big 12
Butler Bulldogs,Big East
Creighton Bluejays,Big East
DePaul Blue Demons,Big East
Georgetown Hoyas,Big East
Marquette Golden Eagles,Big East
Providence Friars,Big East
Seton Hall Pirates,Big East
St. John's Red Storm,Big East
UConn Huskies,Big East
Villanova Wildcats,Big East
Xavier Musketeers,Big East
Eastern Washington Eagles,Big Sky
Idaho Vandals,Big Sky
Idaho State Bengals,Big Sky
Montana Grizzlies,Big Sky
Montana State Bobcats,Big Sky
Northern Arizona Lumberjacks,Big Sky
Northern Colorado Bears,Big Sky
Portland State Vikings,Big Sky
Sacramento State Hornets,Big Sky
Weber State Wildcats,Big Sky
Charleston Southern Buccaneers,Big South
Gardner-Webb Runnin' Bulldogs,Big South
High Point Panthers,Big South
Longwood Lancers,Big South
Presbyterian Blue Hose,Big South
Radford Highlanders,Big South
South Carolina Upstate Spartans,Big South
UNC Asheville Bulldogs,Big South
Winthrop Eagles,Big South
Cal Poly Mustangs,Big West
Cal State Bakersfield Roadrunners,Big West
Cal State Fullerton Titans,Big West
Cal State Northridge Matadors,Big West
Hawai'i Rainbow Warriors,Big West
Long Beach State Beach,Big West
